City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,kaiapoi,-43.3783,172.6401,15.04,50,86,3.09,NZ,1724968182
247,zhangjiakou shi xuanhua qu,40.6103,115.0447,20.55,65,0,1.63,CN,1724968183
248,maryborough,-25.5333,152.7,20.92,69,1,1.71,AU,1724968184
249,sihanoukville,10.6093,103.5296,24.97,100,40,0.51,KH,1724968185
250,ad dilam,23.9915,47.1627,33.37,19,5,3.9,SA,1724968186
251,safotu,-13.4513,-172.4018,26.41,80,13,9.71,WS,1724968187
252,westport,41.1415,-73.3579,23.49,76,75,4.12,US,1724967932
253,kapchorwa,1.3965,34.4509,15.09,76,53,1.85,UG,1724968189
254,sault ste. marie,46.5168,-84.3333,22.16,56,0,3.6,CA,1724967943
255,manga,11.6636,-1.0731,23.66,91,95,3.61,BF,1724968192
256,phang nga,8.4509,98.5298,24.27,94,100,0.98,TH,1724968193
257,geneseo,42.7959,-77.8169,21.68,79,43,3.59,US,1724968194
258,mahina,-17.5065,-149.489,28.87,74,0,4.63,PF,1724968195
259,salinas,36.6777,-121.6555,21.05,71,0,6.69,US,1724968196
260,kapuskasing,49.4169,-82.4331,24.0,27,20,5.66,CA,1724968197
261,aguada de pasajeros,22.385,-80.8508,30.7,64,84,3.55,CU,1724968198
262,sitka,57.0531,-135.33,12.94,88,100,5.14,US,1724968199
263,jatibarang,-6.4747,108.3153,23.42,67,90,2.17,ID,1724968200
264,mabaruma,8.2,-59.7833,24.24,98,95,1.9,GY,1724968203
265,bargaal,11.2864,51.0773,28.17,70,26,2.92,SO,1724968204
266,tondano,1.3038,124.9112,20.05,99,100,0.86,ID,1724968205
267,new norfolk,-42.7826,147.0587,11.07,77,40,5.12,AU,1724968206
268,rongelap,11.1635,166.8941,28.54,78,99,6.13,MH,1724968207
269,monrovia,6.3005,-10.7969,24.84,87,79,6.15,LR,1724968208
270,farrokh shahr,32.2717,50.9801,18.59,26,0,3.09,IR,1724968209
271,kirakira,-10.4544,161.9205,27.84,70,83,4.12,SB,1724968210
272,ercis,39.0287,43.3586,19.98,48,4,3.85,TR,1724968212
273,hooper,41.1638,-112.1224,26.66,15,0,3.09,US,1724968213
274,puerto aysen,-45.4,-72.7,6.85,99,21,0.19,CL,1724968214
275,pechora,65.1472,57.2244,8.32,92,57,3.76,RU,1724968216
276,juneau,58.3019,-134.4197,12.0,98,100,5.66,US,1724968128
277,jilin,43.0,126.0,18.61,94,100,1.68,CN,1724968218
278,chita,52.0333,113.55,7.94,81,14,4.0,RU,1724968219
279,chibougamau,49.9168,-74.3659,20.79,37,0,2.57,CA,1724968220
280,grand-bassam,5.2118,-3.7388,23.98,93,50,3.07,CI,1724968221
281,minas de marcona,-15.2119,-75.1103,11.07,77,51,7.71,PE,1724968223
282,castillos,-34.1667,-53.8333,12.78,92,100,3.3,UY,1724968224
283,whitby,54.4877,-0.615,13.26,81,0,1.34,GB,1724968064
284,laboulaye,-34.1266,-63.3912,16.66,43,13,4.18,AR,1724968226
285,galliano,29.4422,-90.2992,29.0,79,0,2.06,US,1724968227
286,pundong,-7.9522,110.3486,21.65,93,100,0.78,ID,1724968228
287,nadi,-17.8,177.4167,25.0,65,20,3.09,FJ,1724968232
288,saipan,15.1355,145.701,29.39,84,40,6.17,MP,1724968233
289,lorengau,-2.0226,147.2712,26.41,88,100,4.18,PG,1724968234
290,kayangel,8.0823,134.7173,28.77,76,100,2.27,PW,1724968235
291,iskateley,67.6803,53.1512,7.0,65,97,6.89,RU,1724968237
292,yelizovo,53.1873,158.3805,14.08,72,75,4.0,RU,1724968238
293,ashburton,-37.8626,145.0794,14.23,71,36,0.89,AU,1724968239
294,cadale,2.7603,46.3222,25.31,86,12,8.11,SO,1724968240
295,sejong,36.4817,127.2871,23.05,89,0,1.45,KR,1724968242
296,gizo,-8.103,156.8419,27.24,81,79,4.75,SB,1724968243
297,samdrup jongkhar,26.9167,91.6167,18.99,87,24,1.9,BT,1724968244
298,don sak,9.3168,99.6918,26.16,81,100,4.68,TH,1724968245
299,cha grande,-8.2383,-35.4617,18.27,94,77,5.48,BR,1724968246
300,uturoa,-16.7333,-151.4333,26.08,82,21,4.6,PF,1724968248
301,codrington,-38.2667,141.9667,11.46,72,11,9.24,AU,1724968249
302,sept-iles,50.2001,-66.3821,21.0,57,20,3.6,CA,1724968251
303,ugoofaaru,5.6667,73.0,28.04,78,79,5.0,MV,1724968252
304,bubaque,11.2833,-15.8333,26.58,82,78,6.03,GW,1724968253
305,al kharj,24.155,47.3346,33.32,19,10,4.46,SA,1724968254
306,bengkulu,-3.8004,102.2655,23.49,94,100,2.02,ID,1724968255
307,lodja,-3.4833,23.4333,23.41,80,99,0.74,CD,1724968256
308,cururupu,-1.8283,-44.8683,24.47,83,35,1.62,BR,1724968257
309,candido de abreu,-24.5669,-51.3333,20.25,52,6,0.81,BR,1724968258
